code,name,price,hex,color_category,categoryName,variantSizes,image
1198268_group_006,Laced Padded Boots,"{'currencyIso': 'USD', 'value': 23.99, 'priceType': 'BUY', 'formattedValue': '$ 23.99', 'type': 'RED'}",##B2ADA4,Neutral,Ladies,"[{'orderFilter': 13, 'filterCode': '9'}, {'orderFilter': 15, 'filterCode': '11'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 9, 'filterCode': '5'}, {'orderFilter': 12, 'filterCode': '8'}, {'orderFilter': 10, 'filterCode': '6'}, {'orderFilter': 11, 'filterCode': '7'}, {'orderFilter': 14, 'filterCode': '10'}]","https://lp2.hm.com/hmgoepprod?set=source[/ed/02/ed029a7d59a59e826f27bdf687bb6e5250e18eba.jpg],origin[dam],category[ladies_shoes_ankle_boots],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1253174_group_001,Bead-Embellished Top,"{'currencyIso': 'USD', 'value': 15.99, 'priceType': 'BUY', 'formattedValue': '$ 15.99', 'type': 'RED'}",##838386,Neutral,Ladies,"[{'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 366, 'filterCode': 'S'}]","https://lp2.hm.com/hmgoepprod?set=source[/cf/33/cf339bba4c7a5d047eb07c62932423cf5e4c4181.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/style]"
1253863_group_001,Slit-Front Skirt,"{'currencyIso': 'USD', 'value': 17.99, 'priceType': 'BUY', 'formattedValue': '$ 17.99', 'type': 'RED'}",##BBAB92,Neutral,Ladies,"[{'orderFilter': 14, 'filterCode': '10'}, {'orderFilter': 4, 'filterCode': '0'}, {'orderFilter': 6, 'filterCode': '2'}, {'orderFilter': 12, 'filterCode': '8'}, {'orderFilter': 16, 'filterCode': '12'}, {'orderFilter': 10, 'filterCode': '6'}, {'orderFilter': 20, 'filterCode': '16'}, {'orderFilter': 18, 'filterCode': '14'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 22, 'filterCode': '18'}]","https://lp2.hm.com/hmgoepprod?set=source[/e4/d4/e4d4ffc698034a8c3f58cab74f7a62598751fad6.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/style]"
1089156_group_016,Rib-knit Half-zip Sweater,"{'currencyIso': 'USD', 'value': 49.99, 'priceType': 'BUY', 'formattedValue': '$ 49.99', 'type': 'WHITE'}",##5E6479,Neutral,Ladies,"[{'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 366, 'filterCode': 'S'}]","https://lp2.hm.com/hmgoepprod?set=source[/b7/c9/b7c99d5a1f5a9fd2fcc44cd030f1841da1317edb.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1089156_group_012,Rib-knit Half-zip Sweater,"{'currencyIso': 'USD', 'value': 49.99, 'priceType': 'BUY', 'formattedValue': '$ 49.99', 'type': 'WHITE'}",##969696,Neutral,Ladies,"[{'orderFilter': 384, 'filterCode': '4XL'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 357, 'filterCode': 'XXS'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 369, 'filterCode': 'M'}, {'orderFilter': 372, 'filterCode': 'XL'}]","https://lp2.hm.com/hmgoepprod?set=source[/cf/e5/cfe5a2690ce59f67b39429c9f86ee4a89da2407e.jpg],origin[dam],category[ladies_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1253162_group_001,Rhinestone-Embellished Jeans,"{'currencyIso': 'USD', 'value': 26.99, 'priceType': 'BUY', 'formattedValue': '$ 26.99', 'type': 'RED'}",##68513C,Warm,Ladies,"[{'orderFilter': 14, 'filterCode': '10'}, {'orderFilter': 12, 'filterCode': '8'}, {'orderFilter': 16, 'filterCode': '12'}, {'orderFilter': 8, 'filterCode': '4'}, {'orderFilter': 22, 'filterCode': '18'}, {'orderFilter': 10, 'filterCode': '6'}]","https://lp2.hm.com/hmgoepprod?set=source[/66/6b/666b8c4fd93243437ea0744be40ba2e5191b708c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1237777_group_001,Rib-Knit Off-the-Shoulder Dress,"{'currencyIso': 'USD', 'value': 39.99, 'priceType': 'BUY', 'formattedValue': '$ 39.99', 'type': 'WHITE'}",##272628,Neutral,Ladies,"[{'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 375, 'filterCode': 'XXL'}]","https://lp2.hm.com/hmgoepprod?set=source[/8b/68/8b6856e2b83207a575d867d54f448e90dc86d512.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
0983240_group_043,Knit Sweater,"{'currencyIso': 'USD', 'value': 24.99, 'priceType': 'BUY', 'formattedValue': '$ 24.99', 'type': 'WHITE'}",##6E6E6E,Neutral,Ladies,"[{'orderFilter': 357, 'filterCode': 'XXS'}]","https://lp2.hm.com/hmgoepprod?set=source[/ca/3a/ca3a3d625744ad8331fff13a7c1b47e80c4303a0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1253889_group_001,Rhinestone-Embellished Blouse,"{'currencyIso': 'USD', 'value': 59.99, 'priceType': 'BUY', 'formattedValue': '$ 59.99', 'type': 'WHITE'}",##796E5B,Neutral,Ladies,"[{'orderFilter': 366, 'filterCode': 'S'}]","https://lp2.hm.com/hmgoepprod?set=source[/0a/a5/0aa5be95da0092d7b0a7881f8d130c79928db45a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
1253893_group_001,Rhinestone-Embellished Mini Shorts,"{'currencyIso': 'USD', 'value': 49.99, 'priceType': 'BUY', 'formattedValue': '$ 49.99', 'type': 'WHITE'}",##706248,Neutral,Ladies,"[{'orderFilter': 366, 'filterCode': 'S'}, {'orderFilter': 363, 'filterCode': 'XS'}, {'orderFilter': 372, 'filterCode': 'XL'}, {'orderFilter': 370, 'filterCode': 'L'}, {'orderFilter': 375, 'filterCode': 'XXL'}, {'orderFilter': 369, 'filterCode': 'M'}]","https://lp2.hm.com/hmgoepprod?set=source[/76/e7/76e71dd4e4b56d228d0d172bcdcdc1e521e591f4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
